uid,created_at,updated_at,deleted_at,crop_uid,season,score
crop-season-001-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-001,KHARIF,2
crop-season-001-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-001,RABI,2
crop-season-001-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-001,ZAID,0
crop-season-001-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-001,LONGTERM,0
crop-season-002-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-002,KHARIF,0
crop-season-002-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-002,RABI,2
crop-season-002-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-002,ZAID,0
crop-season-002-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-002,LONGTERM,0
crop-season-003-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-003,KHARIF,2
crop-season-003-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-003,RABI,2
crop-season-003-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-003,ZAID,0
crop-season-003-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-003,LONGTERM,0
crop-season-004-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-004,KHARIF,2
crop-season-004-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-004,RABI,2
crop-season-004-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-004,ZAID,0
crop-season-004-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-004,LONGTERM,0
crop-season-005-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-005,KHARIF,2
crop-season-005-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-005,RABI,0
crop-season-005-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-005,ZAID,0
crop-season-005-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-005,LONGTERM,0
crop-season-006-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-006,KHARIF,2
crop-season-006-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-006,RABI,0
crop-season-006-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-006,ZAID,0
crop-season-006-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-006,LONGTERM,0
crop-season-007-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-007,KHARIF,2
crop-season-007-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-007,RABI,0
crop-season-007-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-007,ZAID,0
crop-season-007-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-007,LONGTERM,0
crop-season-008-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-008,KHARIF,2
crop-season-008-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-008,RABI,0
crop-season-008-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-008,ZAID,0
crop-season-008-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-008,LONGTERM,0
crop-season-009-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-009,KHARIF,2
crop-season-009-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-009,RABI,0
crop-season-009-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-009,ZAID,0
crop-season-009-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-009,LONGTERM,0
crop-season-010-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-010,KHARIF,0
crop-season-010-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-010,RABI,2
crop-season-010-zaid,2026-08-10 09:47:53.589862+00:00,,,crop-010,ZAID,0
crop-season-010-longterm,2026-08-10 09:47:53.589862+00:00,,,crop-010,LONGTERM,0
crop-season-011-kharif,2026-08-10 09:47:53.589862+00:00,,,crop-011,KHARIF,0
crop-season-011-rabi,2026-08-10 09:47:53.589862+00:00,,,crop-011,RABI,2
