uid,crop_name,image_url,created_at,updated_at,deleted_at
crop_image_4a4616c1-2cbc-406d-a772-44c953692f18,Abaca,https://cdn.kissansampurna.com/crops/abaca.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_52257ce8-89aa-44b5-bcf0-7b0ffba31e9c,Absinthe,https://cdn.kissansampurna.com/crops/absinthe.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_a2580035-379e-41d9-9a0b-a236d6d73780,Acerola,https://cdn.kissansampurna.com/crops/acerola.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_7ced8c35-f52d-4076-bc85-d5f4c8afcfbc,Ackee,https://cdn.kissansampurna.com/crops/ackee.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_f901a006-20c4-435c-9659-fe5e81e8979d,Adzuki bean,https://cdn.kissansampurna.com/crops/adzuki_bean.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_dcae8165-1be0-4dce-9022-fefee1769961,African Plum,https://cdn.kissansampurna.com/crops/african_plum.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_263d853f-b129-47db-beae-c3c5106c4c3c,Agathi,https://cdn.kissansampurna.com/crops/agathi.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_ff026aca-75ca-42d8-b11a-08bda0e7ff2c,Air Potato,https://cdn.kissansampurna.com/crops/air_potato.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_eb614c52-715c-4d3c-aace-8bbba9209df2,Ajwain,https://cdn.kissansampurna.com/crops/ajwain.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_6d67c803-7655-416e-80cd-905b3631b421,Alasande Gram,https://cdn.kissansampurna.com/crops/alasande_gram.png,2026-06-30 10:54:05.352959+00:00,,
crop_image_502087fb-8734-4af8-8b99-15447cf730cc,Alfalfa,https://cdn.kissansampurna.com/crops/alfalfa.png,2026-06-30 10:54:05.352959+00:00,,
