uid,crop_name,main_stage,sub_stage_name,start_day,end_day,data_source,created_at,updated_at,deleted_at,susceptible_pests,pest_risk_factors,pest_management,susceptible_diseases,disease_risk_factors,disease_management,env_conditions
csk_d57f795c-a9f2-400f-a336-5a8d53994344,soybean,Vegetative Phase,Branching and Leaf Growth,15,35,llm,2026-06-21 07:26:13.663324+00:00,2026-06-30 09:59:36.744018+00:00,,"Girdle beetle, Tobacco caterpillar, Semilooper, Whitefly","Cloudy weather, high humidity, and weeds left growing in the field","Field care: Remove weeds regularly and cut off any twigs damaged by the girdle beetle. Natural control: Put up T-shaped wooden sticks for birds to sit on and eat the caterpillars, and hang yellow sticky cards to catch whiteflies. Spray if needed: Spray homemade neem water or a mild insect medicine from the local cooperative if you see many pests. Always spray during the cool evening hours.","Yellow mosaic virus, Root rot, Collar rot","Water standing in the field, heavy rains, and whiteflies spreading the yellowing disease",Field care: Make small channels to drain out excess rainwater so the soil does not stay muddy. Natural control: Pull out any completely yellow plants and bury them far from the field to stop the disease from spreading. Spray if needed: Spray a basic fungus-control powder mixed in water if you see rotting near the ground. Keep the field clean to prevent diseases.,"{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-13"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
csk_e581ceb4-a356-4efb-acee-9648a1b7d3f0,rice,Reproductive Phase,Flowering,80,90,llm,2026-05-22 06:25:15.206092+00:00,2026-05-22 06:35:11.871256+00:00,,"Rice bug, Gundhi bug, Earhead bug, Thrips","High humidity, cloudy weather, excessive nitrogen fertilization, presence of weeds","Cultural: Weed management, balanced fertilization. Biological: Conserve natural enemies like spiders and ladybird beetles. Chemical: Foliar spray of Imidacloprid, Fipronil, Chlorpyrifos.","Blast, Sheath blight, False smut, Bacterial blight","High humidity, warm temperatures, excessive nitrogen fertilization, stagnant water, continuous rice cropping","Cultural: Balanced fertilization, proper water management. Biological: Apply Bacillus subtilis. Chemical: Foliar spray of Propiconazole, Hexaconazole, Copper oxychloride, Streptomycin sulphate.","{""irrigation_mm"": ""25-50"", ""temp_min_c"": ""20"", ""temp_max_c"": ""35"", ""optimal_temp_c"": ""28-32"", ""avg_yield_kg_ha"": ""N/A (Yield determination occurs post-flowering)"", ""soil_moisture_pct"": ""Field capacity (saturated)"", ""rel_humidity_pct"": ""60-80"", ""uv_index"": ""6-8"", ""soil_temp_c"": ""25-30"", ""photoperiod"": ""Day-neutral"", ""harvest_index_pct"": ""N/A""}"
csk_e43e9807-4375-491d-b917-a2eee2c6f935,rice,Vegetative Phase,Tillering,20,50,llm,2026-05-22 06:25:15.206092+00:00,2026-06-30 09:48:21.196663+00:00,,"Stem borers, Leaf folder, Brown planthopper (BPH), Green leafhopper (GLH), Rice hispa","High nitrogen fertilization, close planting, continuous rice cropping, humid weather, stagnant water","Cultural: Balanced fertilization, wider spacing, crop rotation. Biological: Release Trichogramma japonicum for stem borers, use Verticillium lecanii for BPH. Chemical: Foliar spray of Chlorpyrifos, Imidacloprid, Fipronil.","Blast, Sheath blight, Brown spot","High humidity, warm temperatures, excessive nitrogen fertilization, close planting, continuous rice cropping","Cultural: Balanced fertilization, wider spacing, crop rotation. Biological: Apply Pseudomonas fluorescens. Chemical: Foliar spray of Tricyclazole, Propiconazole, Hexaconazole.","{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""20"", ""photoperiod"": ""11-12.5"", ""soil_temp_c"": ""24-28"", ""irrigation_mm"": ""50-70"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""3500-5000"", ""rel_humidity_pct"": ""70-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""80-100""}"
csk_e38343a7-bb34-424c-ba68-306099d7042b,rice,Vegetative Phase,Stem Elongation,50,60,llm,2026-05-22 06:25:15.206092+00:00,2026-06-30 09:48:23.622444+00:00,,"Stem borers, Leaf folder, BPH, GLH, Rice hispa","High nitrogen fertilization, close planting, continuous rice cropping, humid weather, stagnant water","Cultural: Balanced fertilization, wider spacing, crop rotation. Biological: Release Trichogramma japonicum for stem borers, use Verticillium lecanii for BPH. Chemical: Foliar spray of Chlorpyrifos, Imidacloprid, Fipronil.","Blast, Sheath blight, Brown spot","High humidity, warm temperatures, excessive nitrogen fertilization, close planting, continuous rice cropping","Cultural: Balanced fertilization, wider spacing, crop rotation. Biological: Apply Pseudomonas fluorescens. Chemical: Foliar spray of Tricyclazole, Propiconazole, Hexaconazole.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""20"", ""photoperiod"": ""11.5-12.5"", ""soil_temp_c"": ""24-28"", ""irrigation_mm"": ""50-70"", ""optimal_temp_c"": ""25-31"", ""avg_yield_kg_ha"": ""3500-5000"", ""rel_humidity_pct"": ""70-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""80-100""}"
csk_df46eda7-c345-4eec-bd81-1b721055be24,rice,Reproductive Phase,Heading,70,80,llm,2026-05-22 06:25:15.206092+00:00,2026-06-30 09:48:25.973535+00:00,,"Stem borers, Rice bug, Gundhi bug, Earhead bug","High humidity, cloudy weather, excessive nitrogen fertilization, presence of weeds","Cultural: Weed management, balanced fertilization. Biological: Conserve natural enemies like spiders and ladybird beetles. Chemical: Foliar spray of Imidacloprid, Fipronil, Chlorpyrifos.","Blast, Sheath blight, False smut, Bacterial blight","High humidity, warm temperatures, excessive nitrogen fertilization, stagnant water, continuous rice cropping","Cultural: Balanced fertilization, proper water management. Biological: Apply Bacillus subtilis. Chemical: Foliar spray of Propiconazole, Hexaconazole, Copper oxychloride, Streptomycin sulphate.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""20"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""24-28"", ""irrigation_mm"": ""50-70"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""3500-4500"", ""rel_humidity_pct"": ""70-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""80-90""}"
csk_9ad8233b-ae13-481f-8367-b7db637aab3b,rice,Ripening Phase,Dough Grain,100,110,llm,2026-05-22 06:25:15.206092+00:00,2026-06-30 09:48:30.229451+00:00,,"Rice bug, Gundhi bug, Earhead bug","High humidity, cloudy weather, late planting, presence of weeds","Cultural: Weed management, avoid late planting. Biological: Conserve natural enemies. Chemical: Foliar spray of Chlorpyrifos, Fipronil.","Grain discoloration, Brown spot","High humidity, rainfall during grain filling, late planting, poor drainage","Cultural: Proper drainage, avoid late planting. Biological: Apply Bacillus subtilis. Chemical: Foliar spray of Copper oxychloride, Mancozeb.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""20-25"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""22-28"", ""avg_yield_kg_ha"": ""3500-5000"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""40-45"", ""soil_moisture_pct"": ""50-60""}"
csk_4efa1398-ee9b-40fb-ae6a-c3e117528ee0,rice,Ripening Phase,Mature Grain,110,130,llm,2026-05-22 06:25:15.206092+00:00,2026-06-30 09:48:32.075949+00:00,,Grain weevils (post-harvest),"Improper storage, high moisture content in grains","Cultural: Proper drying of grains, clean storage facilities. Biological: Use of botanicals like neem leaves. Chemical: Fumigation with Aluminium phosphide.",Grain discoloration (post-harvest),"High moisture content in grains, improper storage","Cultural: Proper drying of grains, clean storage facilities. Biological: None. Chemical: Fumigation (if necessary).","{""uv_index"": ""5-7"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""18-22"", ""irrigation_mm"": ""0-10"", ""optimal_temp_c"": ""20-25"", ""avg_yield_kg_ha"": ""3500-5000"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""40-50"", ""soil_moisture_pct"": ""30-40""}"
csk_7bf77fd7-3a81-45c3-ac8a-2106d092bafe,soybean,Pod Phase,Pod Formation and Seed Filling,56,80,llm,2026-06-21 07:26:58.056266+00:00,2026-06-30 09:59:50.168500+00:00,,"Pod borer, Tobacco caterpillar, Girdle beetle, Whitefly","Cloudy weather, warm and humid days, and too many weeds in the field","Field care: Put up T-shaped wooden sticks in the field so birds can sit and eat the caterpillars, and handpick any big worms you see. Natural control: Spray homemade neem water on the crop to keep pests away. Spray if needed: If you see more than two caterpillars per meter row, use a safe insect-killing spray from your local cooperative.","Rust, Pod blight, Yellow Mosaic disease","Water standing in the field, continuous rainy days, and crowded plants that do not get enough sunlight","Field care: Make sure rainwater drains out quickly and pull out any completely yellow plants immediately to stop the disease from spreading. Natural control: Spray bio-fungicide powder mixed in water to protect the pods. Spray if needed: If you see dark spots on pods or rust on leaves, spray a good fungus-killing medicine immediately to save your yield.","{""uv_index"": ""6-8"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""35-50"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""50-65"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
csk_eea1d04b-2ddd-4296-bceb-206904362338,ginger,Growth Stages,Sprouting/Initial Growth,0,65,llm,2026-05-23 16:10:29.431942+00:00,2026-05-24 14:37:31.422298+00:00,,"Shoot borer, Rhizome scale","High humidity, continuous cropping, poor drainage, use of infested seed rhizomes","Cultural: Use healthy seed rhizomes, crop rotation, proper drainage. Biological: Application of entomopathogenic nematodes. Chemical: Application of chlorpyrifos, dimethoate.","Rhizome rot, Soft rot","High soil moisture, poor drainage, warm temperatures, infected seed rhizomes","Cultural: Use disease-free seed rhizomes, solarization of soil, crop rotation, improved drainage. Biological: Application of Trichoderma viride. Chemical: Seed treatment with mancozeb, carbendazim; soil drenching with copper oxychloride.","{""irrigation_mm"": ""15-20"", ""temp_min_c"": ""15"", ""temp_max_c"": ""35"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""0"", ""soil_moisture_pct"": ""60-70"", ""rel_humidity_pct"": ""70-80"", ""uv_index"": ""6-8"", ""soil_temp_c"": ""20-25"", ""photoperiod"": ""11-13 hours"", ""harvest_index_pct"": ""0""}"
csk_fe9a22f1-356a-4d27-a017-e554feb1d312,ginger,Growth Stages,Active Growth/Vegetative Stage,80,120,llm,2026-05-23 16:10:29.431942+00:00,2026-06-30 09:48:14.878814+00:00,,"Leaf roller, Aphids","High humidity, dense planting, presence of alternate hosts, imbalanced fertilization","Cultural: Handpicking of leaf rollers, weed management, balanced fertilization. Biological: Application of Bacillus thuringiensis (Bt). Chemical: Spraying with insecticides like imidacloprid, thiamethoxam.","Bacterial wilt, Leaf spot","High soil moisture, warm temperatures, soilborne inoculum, wounds on plants","Cultural: Crop rotation, use of disease-free planting material, soil solarization. Biological: Application of Pseudomonas fluorescens. Chemical: Spraying with copper-based fungicides, streptocycline.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-13"", ""soil_temp_c"": ""22-26"", ""irrigation_mm"": ""35-45"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""0"", ""rel_humidity_pct"": ""70-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""60-70""}"
csk_3838d784-f01b-40de-86cd-bb14cfe11187,ginger,Growth Stages,Slow Vegetative Growth/Rhizome Development,120,180,llm,2026-05-23 16:10:29.431942+00:00,2026-06-30 09:48:16.901872+00:00,,"Rhizome scale, Nematodes","Dry soil conditions, continuous cropping, poor sanitation, presence of alternate hosts","Cultural: Crop rotation, soil solarization, use of resistant varieties. Biological: Application of Pasteuria penetrans. Chemical: Soil application of carbofuran, phorate.","Dry rot, Fusarium wilt","Poor drainage, high soil temperature, soilborne inoculum, root damage","Cultural: Crop rotation, soil solarization, use of disease-free planting material. Biological: Application of Trichoderma harzianum. Chemical: Soil drenching with carbendazim, thiophanate-methyl.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""22-26"", ""irrigation_mm"": ""35-45"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""15000-20000"", ""rel_humidity_pct"": ""70-80"", ""harvest_index_pct"": ""40-50"", ""soil_moisture_pct"": ""60-70""}"
csk_836db725-62c3-413f-8638-377416ec9dbb,ginger,Growth Stages,Maturation/Senescence,180,210,llm,2026-05-23 16:10:29.431942+00:00,2026-06-30 09:48:19.195195+00:00,,"Rhizome scale, Storage pests","Improper curing, high humidity during storage, presence of infested rhizomes","Cultural: Proper curing and drying of rhizomes, sanitation of storage area. Biological: Use of insecticidal soaps. Chemical: Fumigation with methyl bromide (restricted use).",Storage rot,"High humidity, poor ventilation, wounds on rhizomes, presence of fungal spores","Cultural: Proper curing and drying, good ventilation, removal of infected rhizomes. Biological: Application of bio-control agents. Chemical: Dipping rhizomes in fungicide solutions before storage.","{""uv_index"": ""5-7"", ""temp_max_c"": ""35"", ""temp_min_c"": ""13"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""22-26"", ""irrigation_mm"": ""15-20"", ""optimal_temp_c"": ""20-28"", ""avg_yield_kg_ha"": ""15000-20000"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""65-75"", ""soil_moisture_pct"": ""50-60""}"
csk_3d841afe-b58b-43d6-a78a-4fabaec6e55e,sugarcane,Growth Stages,Grand Growth Phase,101,270,llm,2026-05-23 13:18:57.493754+00:00,2026-06-30 09:48:38.775126+00:00,,"Internode borer, Top borer, Pyrilla, Whitefly","High humidity, warm temperatures, excessive nitrogen use, poor ventilation in the field","Cultural: Detrashing, avoid waterlogging, balanced fertilization. Biological: Release of parasitoids and predators like Isotima javensis, Chrysoperla carnea. Chemical: Application of Cartap hydrochloride, Imidacloprid, Thiamethoxam.","Red rot, Smut, Pokkah boeng","High humidity, heavy rainfall, waterlogging, wounds on plants, susceptible varieties","Cultural: Use resistant varieties, proper drainage, avoid injuries to plants. Biological: Foliar spray of Pseudomonas fluorescens. Chemical: Foliar spray of Propiconazole, Hexaconazole.","{""uv_index"": ""8-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""20"", ""photoperiod"": ""12-14"", ""soil_temp_c"": ""25-30"", ""irrigation_mm"": ""50-70"", ""optimal_temp_c"": ""28-32"", ""avg_yield_kg_ha"": ""75000-100000"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""10-15"", ""soil_moisture_pct"": ""70-80""}"
