crop_name,lan_kan,lan_hin,lan_mar,lan_tel,lan_tam,lan_guj,lan_urd,lan_ban,lan_ori,lan_mal,meta,uid,created_at,updated_at,deleted_at,lan_ass,lan_pun
Jute,ಚಣಬು,जूट,ताग,జనపనార,சணல்,શણ,جوٹ,পাট,ପାଟ୍,ചണം,{},crops_1d3a9e6c-cd58-4244-8340-cc5b3a46977e,2026-01-19 10:57:24.602040+00:00,,,,
Lentil,ಮಸೂರು ಬೇಳೆ,मसूर,मसूर,పప్పు,பருப்பு,મસૂર,دال,মসুর ডাল,ମସୁର ଡାଲି,പയറ്,{},crops_54bc0e63-0e71-40bf-88a4-a02b3e42c8c6,2026-01-19 10:58:25.937784+00:00,,,,
Linseed,ಅಗಸೆ ಬೀಜ,अलसी,जवस,అవిసె,ஆளி விதை,અળસી,السی ۔,তিসি,ଅଳସୀ,ലിൻസീഡ്,{},crops_65752350-dc5f-4021-a12a-9baab1dca9d4,2026-01-19 10:59:03.134816+00:00,,,,
Mint,ಪುದೀನಾ,पुदीना,पुदिना,పుదీనా,புதினா,ફુદીનો,پودینہ,পুদিনা,ମିଣ୍ଟ,പുതിന,{},crops_ab8239d5-eb8a-42a6-beb2-2edaeefe74bd,2026-01-19 11:00:17.125663+00:00,,,,
Mustard,ಸಾಸಿವೆ,सरसों,मोहरी,ఆవాలు,கடுகு,સરસવ,سرسوں,সরিষা,ସୋରିଷ,കടുക്,{},crops_c1c7a5d4-aba9-418a-a426-08db65161f3d,2026-01-19 11:00:55.410836+00:00,,,,
Oats,ಓಟ್ಸ್,जई,ओट्स,ఓట్స్,ஓட்ஸ்,ઓટ્સ,جئی,ওটস,ଓଟ୍ସ,ഓട്സ്,{},crops_c7440a98-a185-4919-9a6e-b63c6a64b1ce,2026-01-19 11:01:32.952891+00:00,,,,
Olive,ಆಲಿವ್,जैतून,ऑलिव्ह,ఆలివ్,ஆலிவ்,ઓલિવ,زیتون,জলপাই,ଅଲିଭ୍,ഒലിവ്,{},crops_7a0f133d-572f-41d6-bf52-d7b76f664d5a,2026-01-19 11:02:05.257990+00:00,,,,
Orange,ಕಿತ್ತಳೆ ಹಣ್ಣು,नारंगी,ऑरेंज,నారింజ,ஆரஞ்சு,નારંગી,کینو,কমলা,କମଳା,ഓറഞ്ച്,{},crops_62587f55-5ac0-4b0e-a41f-690eeb09eb3b,2026-01-19 11:02:49.262000+00:00,,,,
Pear,ಮರಸೇಬು,नाशपाती,नाशपाती,పియర్,பேரிக்காய்,નાસપતી,ناشپاتی,নাশপাতি,ନାସପାତି,പിയർ,{},crops_15e149b8-60a6-4c77-8b66-f1e25a232b24,2026-01-19 11:04:21.527207+00:00,,,,
Pineapple,ಅನಾನಸ್,अनानास,अननस,అనాస పండు,அன்னாசி,અનેનાસ,انناس,আনারস,ସପୁରୀ,പൈനാപ്പിൾ,{},crops_c20785e8-9de6-4e7f-a302-6cc0760a2b8a,2026-01-19 11:04:38.388062+00:00,,,,
Pomegranate,ದಾಳಿಂಬೆ,अनार,डाळिंब,దానిమ్మ,மாதுளை,દાડમ,انار,ডালিম,ଡାଳିମ୍ବ,മാതളനാരങ്ങ,{},crops_94c9f9b6-ab06-4287-a33c-a427f92e0bbf,2026-01-19 11:05:22.535401+00:00,,,,
Pumpkin,ಕುಂಬಳಕಾಯಿ,कद्दू,भोपळा,గుమ్మడికాయ,பூசணிக்காய்,કોળુ,پیٹھا کدو,কুমড়ো,କଖାରୁ,മത്തങ്ങ,{},crops_bff18da8-95b1-490c-a8e7-a7edc4734863,2026-01-19 11:06:12.090810+00:00,,,,
Rubber,ರಬ್ಬರ್,रबड़,रबर,రబ్బరు,ரப்பர்,રબર,ربڑ,রাবার,ରବର,റബ്ബർ,{},crops_53330f11-369b-4b0e-8120-d87ae0fa5f18,2026-01-19 11:06:58.526863+00:00,,,,
Saffron,ಕೇಸರಿ,केसर,केशर,కుంకుమ పువ్వు,குங்குமப்பூ,કેસર,زعفران,জাফরান,କେସର,കുങ്കുമപ്പൂവ്,{},crops_755b74eb-b15b-4850-b2d9-a713a1229ec8,2026-01-19 11:07:56.665337+00:00,,,,
Soybean,ಸೋಯಾಬೀನ್,सोयाबीन,सोयाबीन,సోయాబీన్,சோயாபீன்,સોયાબીન,سویا بین,সয়াবিন,ସୋୟାବିନ୍,സോയാബീൻ,{},crops_f312070a-cc5b-4738-a831-b7295dedbb6b,2026-01-19 11:08:30.657026+00:00,,,,
Strawberry,ಸ್ಟ್ರಾಬೆರಿ,स्ट्रॉबेरी,स्ट्रॉबेरी,స్ట్రాబెర్రీ,ஸ்ட்ராபெரி,સ્ટ્રોબેરી,اسٹرابیری,স্ট্রবেরি,ଷ୍ଟ୍ରବେରୀ,ഞാവൽപ്പഴം,{},crops_c35ea14a-5061-46b4-bba1-28c3b532127d,2026-01-19 11:09:21.723848+00:00,,,,
